storey_range,floor_area_sqm,no.of bto,resale application,remaining_lease_months,Distance to nearest MRT,Distance to CBD,isMatureEstate,over_under_classification
5,120.0,7314,26436.0,917,281.6388712,13606.74443,0,1
11,121.0,7314,26436.0,772,500.8367941,12877.78683,0,0
8,149.0,7314,26436.0,774,296.6568277,13338.61265,0,0
5,121.0,7314,26436.0,922,1201.506701,12195.84488,0,1
5,122.0,7314,26436.0,790,656.3072137,14424.44703,0,0
23,118.0,7314,26436.0,1005,820.0922584,14132.94242,0,1
26,118.0,7314,26436.0,1006,883.8422377,14195.32557,0,0
11,110.0,7314,26436.0,1008,691.0646848,14161.6927,0,1
23,118.0,7314,26436.0,1006,748.9629216,14173.42008,0,0
2,132.0,7314,26436.0,768,450.670006,13645.47707,0,0
26,134.0,7314,26436.0,772,938.2371318,14050.39336,0,0
14,150.0,7314,26436.0,774,442.072104,13799.05947,0,0
8,149.0,7314,26436.0,773,440.9314316,12954.92441,0,0
8,148.0,7314,26436.0,768,724.1270857,14057.31313,0,0
11,155.0,7314,26436.0,767,724.1270857,14057.31313,0,0
11,150.0,7314,26436.0,766,663.8134851,14014.99865,0,1
5,142.0,7314,26436.0,767,724.1270857,14057.31313,0,1
8,144.0,7314,26436.0,924,1347.741495,12038.95468,0,1
26,62.0,7314,26436.0,1140,244.3809264,2231.016543,1,1
23,62.0,7314,26436.0,1140,197.5449013,2275.107244,1,1
5,67.0,7314,26436.0,582,330.1490389,2405.767671,1,1
5,69.0,7314,26436.0,1108,394.3942058,2476.268406,1,1
11,65.0,7314,26436.0,648,628.2718878,3134.890239,1,1
8,76.0,7314,26436.0,660,658.9152371,2268.724002,1,0
5,58.0,7314,26436.0,583,215.8119976,2435.784614,1,1
2,58.0,7314,26436.0,582,215.8119976,2435.784614,1,0
5,58.0,7314,26436.0,582,192.7281516,2427.261391,1,0
17,60.0,7314,26436.0,1056,369.8377096,2543.771476,1,0
14,60.0,7314,26436.0,1056,445.9711309,2634.536976,1,0
29,62.0,7314,26436.0,1106,514.7079274,2143.903543,1,1
